seq0, sp|C0H412|SWRD_BACSU
seq52, sp|Q9PP76|PSD_CAMJE
seq53, sp|P06598|ACOX4_CANTR
seq54, sp|O26271|PURS_METTH
seq55, sp|O26271|PURS_METTH
seq56, sp|P06101|CDC37_YEAST
seq57, sp|O94740|CDC37_SCHPO
seq58, sp|P32361|IRE1_YEAST
seq59, sp|O94740|CDC37_SCHPO
seq60, sp|P25519|HFLX_ECOLI
seq61, sp|P0AF08|APBC_ECOLI
seq62, sp|P0A1U0|YIGI_SALTY
seq63, sp|P37558|YABP_BACSU
seq64, sp|Q1JP73|QSPP_BOVIN
seq65, sp|Q9LRZ5|PLDZ1_ARATH
seq66, sp|Q9LRZ5|PLDZ1_ARATH
seq67, sp|Q9VMH7|EFM5_DROME
seq68, sp|E9PY46|IF140_MOUSE
seq69, sp|E9PY46|IF140_MOUSE
seq70, sp|E9PY46|IF140_MOUSE
seq71, sp|E9PY46|IF140_MOUSE
seq72, sp|Q9VTH0|PLOD_DROME
seq73, sp|A0A0R4IKJ1|CAPAM_DANRE
seq74, sp|Q9VTH0|PLOD_DROME
seq75, sp|A0A0R4IKJ1|CAPAM_DANRE
seq76, sp|A0A0R4IKJ1|CAPAM_DANRE
seq77, sp|Q1JP73|QSPP_BOVIN
seq78, sp|Q1JP73|QSPP_BOVIN
seq79, sp|E9PY46|IF140_MOUSE
seq80, sp|Q96RY7|IF140_HUMAN
seq81, sp|Q9V3Y2|DRE2_DROME
seq82, sp|Q9W2Q7|IPPK_DROME
seq83, sp|Q9W2Q7|IPPK_DROME
seq84, sp|A0A0R4IKJ1|CAPAM_DANRE
seq85, sp|Q9VMH7|EFM5_DROME
seq86, sp|O46339|HTH_DROME
seq87, sp|Q5XHZ0|TRAP1_RAT
seq88, sp|Q24276|CDC37_DROME
seq89, sp|Q24276|CDC37_DROME
seq90, sp|Q9VL78|FKB59_DROME
seq91, sp|Q498T4|RM02_RAT
seq92, sp|Q5T653|RM02_HUMAN
seq93, sp|P25007|PPIA_DROME
seq94, sp|Q9D2Y6|FBX25_MOUSE
seq95, sp|O75127|PTCD1_HUMAN
seq96, sp|O75460|ERN1_HUMAN
seq97, sp|Q09499|IRE1_CAEEL
seq98, sp|Q24276|CDC37_DROME
seq99, sp|Q24276|CDC37_DROME
seq100, sp|Q24276|CDC37_DROME
seq101, sp|Q24276|CDC37_DROME
seq102, sp|Q24276|CDC37_DROME
seq103, sp|Q24276|CDC37_DROME
seq104, sp|Q24276|CDC37_DROME
seq105, sp|Q24276|CDC37_DROME
seq106, sp|Q24276|CDC37_DROME
seq107, sp|Q24276|CDC37_DROME
seq108, sp|Q24276|CDC37_DROME
seq109, sp|P35820|PSC_DROME
seq110, sp|P26017|PC_DROME
seq111, sp|Q9NJG9|SUZ12_DROME
seq112, sp|P35820|PSC_DROME
seq113, sp|P20659|TRX_DROME
seq114, sp|P0DPE4|CANSD_VIBAX
seq115, sp|Q9DGQ7|CDC37_TETFL
seq116, sp|Q9DGQ7|CDC37_TETFL
seq117, sp|O75460|ERN1_HUMAN
seq118, sp|Q9EQY0|ERN1_MOUSE
seq119, sp|Q9EQY0|ERN1_MOUSE
seq120, sp|O75460|ERN1_HUMAN
seq121, sp|Q9EQY0|ERN1_MOUSE
seq122, sp|O75460|ERN1_HUMAN
seq123, sp|Q9EQY0|ERN1_MOUSE
seq124, sp|P06761|BIP_RAT
seq125, sp|Q39T45|FABZ_GEOMG
seq126, sp|P55049|YMEL_STRLN
seq127, sp|Q96ZP3|Y1790_SULTO
seq128, sp|P0ADP4|YIGI_SHIFL
seq129, sp|P0AB27|YCEB_SHIFL
seq130, sp|P0A6A2|UBIB_SHIFL
seq131, sp|P0A6A2|UBIB_SHIFL
seq132, sp|B7NFD8|UBIB_ECOLU
seq133, sp|P0A6A2|UBIB_SHIFL
seq134, sp|P0ACK2|AGAR_ECOLI
seq135, sp|P0ACK2|AGAR_ECOLI
seq136, sp|P0ACK2|AGAR_ECOLI
seq137, sp|P39361|SGCR_ECOLI
seq138, sp|P0ACK2|AGAR_ECOLI
seq139, sp|P38494|RS1H_BACSU
seq140, sp|P46853|YHHX_ECOLI
seq141, sp|Q03036|IRC4_YEAST
seq142, sp|Q2TBI4|TRAP1_BOVIN
seq143, sp|Q8DTN6|NRNA_STRMU
seq144, sp|Q9EQY0|ERN1_MOUSE
seq145, sp|O75460|ERN1_HUMAN
seq146, sp|Q9NZJ5|E2AK3_HUMAN
seq147, sp|Q9NZJ5|E2AK3_HUMAN
seq148, sp|Q5V296|RS3A_HALMA
seq149, sp|O09139|E2F1_RAT
seq150, sp|Q92783|STAM1_HUMAN
seq151, sp|Q92783|STAM1_HUMAN
seq152, sp|Q5U2X5|ACK1_RAT
seq153, sp|Q07912|ACK1_HUMAN
seq154, sp|Q07912|ACK1_HUMAN
seq155, sp|O54967|ACK1_MOUSE
seq156, sp|O54967|ACK1_MOUSE
seq157, sp|P17752|TPH1_HUMAN
seq158, sp|P17752|TPH1_HUMAN
seq159, sp|P17752|TPH1_HUMAN
seq160, sp|P17542|TAL1_HUMAN
seq161, sp|O00459|P85B_HUMAN
seq162, sp|O00459|P85B_HUMAN
seq163, sp|Q15311|RBP1_HUMAN
seq164, sp|Q15311|RBP1_HUMAN
seq165, sp|Q13239|SLAP1_HUMAN
seq166, sp|Q13239|SLAP1_HUMAN
seq167, sp|Q5EAD3|NFE2_BOVIN
seq168, sp|Q16621|NFE2_HUMAN
seq169, sp|Q16621|NFE2_HUMAN
seq170, sp|P22674|CCNO_HUMAN
seq171, sp|P22674|CCNO_HUMAN
seq172, sp|O60682|MUSC_HUMAN
seq173, sp|O60682|MUSC_HUMAN
seq174, sp|O95243|MBD4_HUMAN
seq175, sp|O95243|MBD4_HUMAN
seq176, sp|O95243|MBD4_HUMAN
seq177, sp|O14641|DVL2_HUMAN
seq178, sp|O14641|DVL2_HUMAN
seq179, sp|O14641|DVL2_HUMAN
seq180, sp|P55821|STMN2_MOUSE
seq181, sp|P55821|STMN2_MOUSE
seq182, sp|P55821|STMN2_MOUSE
seq183, sp|Q8TEW0|PARD3_HUMAN
seq184, sp|Q8TEW0|PARD3_HUMAN
seq185, sp|Q8TEW0|PARD3_HUMAN
seq186, sp|Q8TEW0|PARD3_HUMAN
seq187, sp|Q9NZN5|ARHGC_HUMAN
seq188, sp|Q9NZN5|ARHGC_HUMAN
seq189, sp|Q9NZN5|ARHGC_HUMAN
seq190, sp|Q14192|FHL2_HUMAN
seq191, sp|Q64152|BTF3_MOUSE
seq192, sp|Q96MK3|FA20A_HUMAN
seq193, sp|Q5R7L8|BL1S1_PONAB
seq194, sp|P20290|BTF3_HUMAN
seq195, sp|Q13393|PLD1_HUMAN
seq196, sp|O14939|PLD2_HUMAN
seq197, sp|Q86X95|CIR1_HUMAN
seq198, sp|Q96RY7|IF140_HUMAN
seq199, sp|Q96RY7|IF140_HUMAN
seq200, sp|Q9BY12|SCAPE_HUMAN
seq201, sp|Q5T6V5|QSPP_HUMAN
seq202, sp|Q96RY7|IF140_HUMAN
seq203, sp|Q5R9I9|NACA_PONAB
seq204, sp|Q9H5U6|ZCHC4_HUMAN
seq205, sp|Q6EMB2|TTLL5_HUMAN
seq206, sp|Q9NPE2|NGRN_HUMAN
seq207, sp|Q9H4Z3|CAPAM_HUMAN
seq208, sp|Q9NPE2|NGRN_HUMAN
seq209, sp|Q5T6V5|QSPP_HUMAN
seq210, sp|Q9H4Z3|CAPAM_HUMAN
seq211, sp|Q64152|BTF3_MOUSE
seq212, sp|Q6N063|OGFD2_HUMAN
seq213, sp|Q13393|PLD1_HUMAN
seq214, sp|Q6N063|OGFD2_HUMAN
seq215, sp|Q86X95|CIR1_HUMAN
seq216, sp|P35869|AHR_HUMAN
seq217, sp|P35869|AHR_HUMAN
seq218, sp|P35869|AHR_HUMAN
seq219, sp|P35869|AHR_HUMAN
seq220, sp|P28028|BRAF_MOUSE
seq221, sp|P15056|BRAF_HUMAN
seq222, sp|P15056|BRAF_HUMAN
seq223, sp|P15056|BRAF_HUMAN
seq224, sp|Q5RBA5|SQSTM_PONAB
seq225, sp|Q5RBA5|SQSTM_PONAB
seq226, sp|Q13501|SQSTM_HUMAN
seq227, sp|Q5RBA5|SQSTM_PONAB
seq228, sp|Q5RBA5|SQSTM_PONAB
seq229, sp|Q5RBA5|SQSTM_PONAB
seq230, sp|O14815|CAN9_HUMAN
seq231, sp|Q8WXF8|DEDD2_HUMAN
seq232, sp|P23246|SFPQ_HUMAN
seq233, sp|P23246|SFPQ_HUMAN
seq234, sp|Q8VIJ6|SFPQ_MOUSE
seq235, sp|Q13009|TIAM1_HUMAN
seq236, sp|Q13009|TIAM1_HUMAN
seq237, sp|Q13009|TIAM1_HUMAN
seq238, sp|Q13009|TIAM1_HUMAN
seq239, sp|Q13009|TIAM1_HUMAN
seq240, sp|Q9UQF2|JIP1_HUMAN
seq241, sp|Q16621|NFE2_HUMAN
seq242, sp|Q16621|NFE2_HUMAN
seq243, sp|Q8IUQ4|SIAH1_HUMAN
seq244, sp|Q920M9|SIAH1_RAT
seq245, sp|Q920M9|SIAH1_RAT
seq246, sp|Q920M9|SIAH1_RAT
seq247, sp|Q920M9|SIAH1_RAT
seq248, sp|Q14241|ELOA1_HUMAN
seq249, sp|Q14241|ELOA1_HUMAN
seq250, sp|Q14241|ELOA1_HUMAN
seq251, sp|Q14241|ELOA1_HUMAN
seq252, sp|Q14241|ELOA1_HUMAN
seq253, sp|Q92786|PROX1_HUMAN
seq254, sp|P48437|PROX1_MOUSE
seq255, sp|Q92786|PROX1_HUMAN
seq256, sp|Q86UW6|N4BP2_HUMAN
seq257, sp|Q86UW6|N4BP2_HUMAN
seq258, sp|Q9H0E2|TOLIP_HUMAN
seq259, sp|Q9H0E2|TOLIP_HUMAN
seq260, sp|Q9H0E2|TOLIP_HUMAN
seq261, sp|Q9H0E2|TOLIP_HUMAN
seq262, sp|Q9H0E2|TOLIP_HUMAN
seq263, sp|Q13029|PRDM2_HUMAN
seq264, sp|Q13029|PRDM2_HUMAN
seq265, sp|Q13029|PRDM2_HUMAN
seq266, sp|Q13029|PRDM2_HUMAN
seq267, sp|Q02779|M3K10_HUMAN
seq268, sp|P35869|AHR_HUMAN
seq269, sp|Q60611|SATB1_MOUSE
seq270, sp|P78314|3BP2_HUMAN
seq271, sp|O55176|PJA1_MOUSE
seq272, sp|Q99684|GFI1_HUMAN
seq273, sp|Q99684|GFI1_HUMAN
seq274, sp|Q99684|GFI1_HUMAN
seq275, sp|Q99684|GFI1_HUMAN
seq276, sp|Q07960|RHG01_HUMAN
seq277, sp|Q07960|RHG01_HUMAN
seq278, sp|Q13239|SLAP1_HUMAN
seq279, sp|Q96GM5|SMRD1_HUMAN
seq280, sp|Q96GM5|SMRD1_HUMAN
seq281, sp|O94972|TRI37_HUMAN
seq282, sp|P41182|BCL6_HUMAN
seq283, sp|P41182|BCL6_HUMAN
seq284, sp|P41183|BCL6_MOUSE
seq285, sp|P08670|VIME_HUMAN
seq286, sp|Q96FV9|THOC1_HUMAN
seq287, sp|Q96FV9|THOC1_HUMAN
seq288, sp|Q14790|CASP8_HUMAN
seq289, sp|Q14790|CASP8_HUMAN
seq290, sp|Q14790|CASP8_HUMAN
seq291, sp|P70284|TGIF1_MOUSE
seq292, sp|P42684|ABL2_HUMAN
seq293, sp|P42684|ABL2_HUMAN
seq294, sp|P42684|ABL2_HUMAN
seq295, sp|Q7Z699|SPRE1_HUMAN
seq296, sp|Q7Z699|SPRE1_HUMAN
seq297, sp|Q7Z699|SPRE1_HUMAN
seq298, sp|Q7Z699|SPRE1_HUMAN
seq299, sp|Q7Z699|SPRE1_HUMAN
seq300, sp|Q8CBW3|ABI1_MOUSE
seq301, sp|P29374|ARI4A_HUMAN
seq302, sp|P20700|LMNB1_HUMAN
seq303, sp|Q9NYB9|ABI2_HUMAN
seq304, sp|Q5R581|KLC1_PONAB
seq305, sp|Q4R761|VATE1_MACFA
seq306, sp|P19532|TFE3_HUMAN
seq307, sp|P19532|TFE3_HUMAN
seq308, sp|Q06455|MTG8_HUMAN
seq309, sp|P18847|ATF3_HUMAN
seq310, sp|Q2KII1|ATF3_BOVIN
seq311, sp|O14776|TCRG1_HUMAN
seq312, sp|O14776|TCRG1_HUMAN
seq313, sp|O08585|CLCA_MOUSE
seq314, sp|O08585|CLCA_MOUSE
seq315, sp|P31260|HXA10_HUMAN
seq316, sp|P31260|HXA10_HUMAN
seq317, sp|P23497|SP100_HUMAN
seq318, sp|P23497|SP100_HUMAN
seq319, sp|Q09472|EP300_HUMAN
seq320, sp|A2T7H7|HXC10_PONPY
seq321, sp|Q60611|SATB1_MOUSE
seq322, sp|Q01826|SATB1_HUMAN
seq323, sp|Q8IZ81|ELMD2_HUMAN
seq324, sp|Q96BJ8|ELMO3_HUMAN
seq325, sp|Q96BJ8|ELMO3_HUMAN
seq326, sp|Q8R5H6|WASF1_MOUSE
seq327, sp|Q5BJU7|WASF1_RAT
seq328, sp|Q99704|DOK1_HUMAN
seq329, sp|Q99704|DOK1_HUMAN
seq330, sp|O60825|F262_HUMAN
seq331, sp|P31948|STIP1_HUMAN
seq332, sp|P31948|STIP1_HUMAN
seq333, sp|Q9H1J1|REN3A_HUMAN
seq334, sp|Q9H1J1|REN3A_HUMAN
seq335, sp|Q9H1J1|REN3A_HUMAN
seq336, sp|O94972|TRI37_HUMAN
seq337, sp|O94972|TRI37_HUMAN
seq338, sp|O94972|TRI37_HUMAN
seq339, sp|Q13424|SNTA1_HUMAN
seq340, sp|Q9NYD6|HXC10_HUMAN
seq341, sp|Q9NYD6|HXC10_HUMAN
seq342, sp|Q15796|SMAD2_HUMAN
seq343, sp|P41182|BCL6_HUMAN
seq344, sp|P41182|BCL6_HUMAN
seq345, sp|P08670|VIME_HUMAN
seq346, sp|P08670|VIME_HUMAN
seq347, sp|Q96BH1|RNF25_HUMAN
seq348, sp|Q96BH1|RNF25_HUMAN
seq349, sp|Q8UUW7|KHDR1_CHICK
seq350, sp|Q91V33|KHDR1_RAT
seq351, sp|P31323|KAP3_HUMAN
seq352, sp|P31323|KAP3_HUMAN
seq353, sp|O43734|CIKS_HUMAN
seq354, sp|Q9Y5V3|MAGD1_HUMAN
seq355, sp|Q6ITT4|MAGD1_PIG
seq356, sp|P78314|3BP2_HUMAN
seq357, sp|Q13094|LCP2_HUMAN
seq358, sp|Q13094|LCP2_HUMAN
seq359, sp|Q9Y618|NCOR2_HUMAN
seq360, sp|O75444|MAF_HUMAN
seq361, sp|Q16829|DUS7_HUMAN
seq362, sp|Q16829|DUS7_HUMAN
seq363, sp|Q09472|EP300_HUMAN
seq364, sp|Q969V6|MRTFA_HUMAN
seq365, sp|Q15329|E2F5_HUMAN
seq366, sp|Q96PN7|TREF1_HUMAN
seq367, sp|Q9UBC3|DNM3B_HUMAN
seq368, sp|Q16254|E2F4_HUMAN
seq369, sp|Q5RC80|RBM39_PONAB
seq370, sp|P51692|STA5B_HUMAN
seq371, sp|P51692|STA5B_HUMAN
seq372, sp|Q93009|UBP7_HUMAN
seq373, sp|Q15633|TRBP2_HUMAN
seq374, sp|Q15633|TRBP2_HUMAN
seq375, sp|Q14790|CASP8_HUMAN
seq376, sp|Q14790|CASP8_HUMAN
seq377, sp|Q14790|CASP8_HUMAN
seq378, sp|Q15583|TGIF1_HUMAN
seq379, sp|P70284|TGIF1_MOUSE
seq380, sp|P29466|CASP1_HUMAN
seq381, sp|Q5EG05|CAR16_HUMAN
seq382, sp|Q00653|NFKB2_HUMAN
seq383, sp|O55176|PJA1_MOUSE
seq384, sp|Q02067|ASCL1_MOUSE
seq385, sp|Q9NQ31|AKIP1_HUMAN
seq386, sp|Q5RCH7|ID2_PONAB
seq387, sp|Q19S50|STAT3_PIG
seq388, sp|O00459|P85B_HUMAN
seq389, sp|Q5R4I9|DDX5_PONAB
seq390, sp|O43541|SMAD6_HUMAN
seq391, sp|O75366|AVIL_HUMAN
seq392, sp|Q5RDS9|FGF13_PONAB
seq393, sp|O00463|TRAF5_HUMAN
seq394, sp|P61246|RS3A_FELCA
seq395, sp|P61247|RS3A_HUMAN
seq396, sp|P61247|RS3A_HUMAN
seq397, sp|P61247|RS3A_HUMAN
seq398, sp|P35219|CAH8_HUMAN
seq399, sp|P35219|CAH8_HUMAN
seq400, sp|P35219|CAH8_HUMAN
seq401, sp|P35219|CAH8_HUMAN
seq402, sp|Q9H204|MED28_HUMAN
seq403, sp|Q9H204|MED28_HUMAN
seq404, sp|Q9H204|MED28_HUMAN
seq405, sp|O14519|CDKA1_HUMAN
seq406, sp|O14519|CDKA1_HUMAN
seq407, sp|O14519|CDKA1_HUMAN
seq408, sp|O14519|CDKA1_HUMAN
seq409, sp|O14519|CDKA1_HUMAN
seq410, sp|O14519|CDKA1_HUMAN
seq411, sp|Q13432|U119A_HUMAN
seq412, sp|Q13432|U119A_HUMAN
seq413, sp|Q13432|U119A_HUMAN
seq414, sp|Q99578|RIT2_HUMAN
seq415, sp|Q99578|RIT2_HUMAN
seq416, sp|Q99578|RIT2_HUMAN
seq417, sp|Q99578|RIT2_HUMAN
seq418, sp|Q99578|RIT2_HUMAN
seq419, sp|P41134|ID1_HUMAN
seq420, sp|O75293|GA45B_HUMAN
seq421, sp|O43903|GAS2_HUMAN
seq422, sp|O43903|GAS2_HUMAN
seq423, sp|O43903|GAS2_HUMAN
seq424, sp|O95988|TCL1B_HUMAN
seq425, sp|Q5RAY0|PFD5_PONAB
seq426, sp|Q5RAY0|PFD5_PONAB
seq427, sp|P10916|MLRV_HUMAN
seq428, sp|Q5R9K0|CRYAB_PONAB
seq429, sp|Q8WWY6|MB3L1_HUMAN
seq430, sp|Q8WWY6|MB3L1_HUMAN
seq431, sp|Q99836|MYD88_HUMAN
seq432, sp|P55916|UCP3_HUMAN
seq433, sp|P55916|UCP3_HUMAN
seq434, sp|P55916|UCP3_HUMAN
seq435, sp|Q00577|PURA_HUMAN
seq436, sp|P42669|PURA_MOUSE
seq437, sp|Q00577|PURA_HUMAN
seq438, sp|Q9ULZ3|ASC_HUMAN
seq439, sp|O43187|IRAK2_HUMAN
seq440, sp|Q712U6|ARP19_PIG
seq441, sp|P26641|EF1G_HUMAN
seq442, sp|P14733|LMNB1_MOUSE
seq443, sp|Q9UK85|DKKL1_HUMAN
seq444, sp|Q14624|ITIH4_HUMAN
seq445, sp|P02489|CRYAA_HUMAN
seq446, sp|P02489|CRYAA_HUMAN
seq447, sp|P02489|CRYAA_HUMAN
seq448, sp|Q8N668|COMD1_HUMAN
seq449, sp|Q8N668|COMD1_HUMAN
seq450, sp|Q9Y5N6|ORC6_HUMAN
seq451, sp|Q15311|RBP1_HUMAN
seq452, sp|Q13239|SLAP1_HUMAN
seq453, sp|O95243|MBD4_HUMAN
seq454, sp|Q9NZN5|ARHGC_HUMAN
seq455, sp|Q9H4Z3|CAPAM_HUMAN
seq456, sp|P23246|SFPQ_HUMAN
seq457, sp|P23246|SFPQ_HUMAN
seq458, sp|Q9H4Z3|CAPAM_HUMAN
seq459, sp|Q9Y6Q1|CAN6_HUMAN
seq460, sp|Q9Y6Q1|CAN6_HUMAN
seq461, sp|O35646|CAN6_MOUSE
seq462, sp|Q9Y6Q1|CAN6_HUMAN
seq463, sp|Q9Y6Q1|CAN6_HUMAN
seq464, sp|Q9Y6Q1|CAN6_HUMAN
seq465, sp|Q9Y6Q1|CAN6_HUMAN
seq466, sp|Q9Y6Q1|CAN6_HUMAN
seq467, sp|Q9NPP4|NLRC4_HUMAN
seq468, sp|P09917|LOX5_HUMAN
seq469, sp|O43422|P52K_HUMAN
seq470, sp|O43422|P52K_HUMAN
seq471, sp|O14829|PPE1_HUMAN
seq472, sp|O14829|PPE1_HUMAN
seq473, sp|Q92608|DOCK2_HUMAN
seq474, sp|O14830|PPE2_HUMAN
seq475, sp|O14830|PPE2_HUMAN
seq476, sp|O14830|PPE2_HUMAN
seq477, sp|O14830|PPE2_HUMAN
seq478, sp|Q96MN2|NALP4_HUMAN
seq479, sp|Q7KZF4|SND1_HUMAN
seq480, sp|Q7KZF4|SND1_HUMAN
seq481, sp|Q7KZF4|SND1_HUMAN
seq482, sp|P46940|IQGA1_HUMAN
seq483, sp|Q05516|ZBT16_HUMAN
seq484, sp|O00429|DNM1L_HUMAN
seq485, sp|Q9C000|NLRP1_HUMAN
seq486, sp|Q9C000|NLRP1_HUMAN
seq487, sp|Q9C000|NLRP1_HUMAN
seq488, sp|Q9C000|NLRP1_HUMAN
seq489, sp|Q9C000|NLRP1_HUMAN
seq490, sp|Q7Z3K3|POGZ_HUMAN
seq491, sp|Q99PV0|PRP8_MOUSE
seq492, sp|Q99PV0|PRP8_MOUSE
seq493, sp|Q99PV0|PRP8_MOUSE
seq494, sp|Q99PV0|PRP8_MOUSE
seq495, sp|Q99PV0|PRP8_MOUSE
seq496, sp|Q8IV61|GRP3_HUMAN
seq497, sp|O95278|EPM2A_HUMAN
seq498, sp|O95278|EPM2A_HUMAN
seq499, sp|O95278|EPM2A_HUMAN
seq500, sp|O60942|MCE1_HUMAN
seq501, sp|O60942|MCE1_HUMAN
seq502, sp|O60942|MCE1_HUMAN
seq503, sp|O60942|MCE1_HUMAN
seq504, sp|O60942|MCE1_HUMAN
seq505, sp|Q5RCP3|LSM8_PONAB
seq506, sp|Q2VIU1|ID2_PIG
seq507, sp|Q2VIU1|ID2_PIG
seq508, sp|O43765|SGTA_HUMAN
seq509, sp|O43765|SGTA_HUMAN
seq510, sp|Q13287|NMI_HUMAN
seq511, sp|P18846|ATF1_HUMAN
seq512, sp|P18846|ATF1_HUMAN
seq513, sp|P18846|ATF1_HUMAN
seq514, sp|Q3MI00|DNJB1_BOVIN
seq515, sp|P25685|DNJB1_HUMAN
seq516, sp|O75293|GA45B_HUMAN
seq517, sp|O75293|GA45B_HUMAN
seq518, sp|Q07960|RHG01_HUMAN
seq519, sp|Q13387|JIP2_HUMAN
seq520, sp|P15173|MYOG_HUMAN
seq521, sp|Q13485|SMAD4_HUMAN
seq522, sp|P97471|SMAD4_MOUSE
seq523, sp|Q04323|UBXN1_HUMAN
seq524, sp|Q04323|UBXN1_HUMAN
seq525, sp|Q12923|PTN13_HUMAN
seq526, sp|Q12923|PTN13_HUMAN
seq527, sp|Q9BYM8|HOIL1_HUMAN
seq528, sp|Q9BYM8|HOIL1_HUMAN
seq529, sp|P15056|BRAF_HUMAN
seq530, sp|P15056|BRAF_HUMAN
seq531, sp|O00443|P3C2A_HUMAN
seq532, sp|P42338|PK3CB_HUMAN
seq533, sp|P42338|PK3CB_HUMAN
seq534, sp|Q96LJ8|UBX10_HUMAN
seq535, sp|Q96LJ8|UBX10_HUMAN
seq536, sp|Q96LJ8|UBX10_HUMAN
seq537, sp|Q96LJ8|UBX10_HUMAN
seq538, sp|Q96LJ8|UBX10_HUMAN
seq539, sp|O00750|P3C2B_HUMAN
seq540, sp|O00750|P3C2B_HUMAN
seq541, sp|O00750|P3C2B_HUMAN
seq542, sp|Q15633|TRBP2_HUMAN
seq543, sp|Q8VIJ6|SFPQ_MOUSE
seq544, sp|Q8VIJ6|SFPQ_MOUSE
seq545, sp|Q13029|PRDM2_HUMAN
seq546, sp|Q13029|PRDM2_HUMAN
seq547, sp|Q13029|PRDM2_HUMAN
seq548, sp|Q12906|ILF3_HUMAN
seq549, sp|Q12906|ILF3_HUMAN
seq550, sp|Q12906|ILF3_HUMAN
seq551, sp|Q9Z1X4|ILF3_MOUSE
seq552, sp|Q9Z1X4|ILF3_MOUSE
seq553, sp|Q99704|DOK1_HUMAN
seq554, sp|Q14192|FHL2_HUMAN
seq555, sp|Q14192|FHL2_HUMAN
seq556, sp|Q8IZQ8|MYCD_HUMAN
seq557, sp|Q9ES28|ARHG7_MOUSE
seq558, sp|Q9ES28|ARHG7_MOUSE
seq559, sp|Q14155|ARHG7_HUMAN
seq560, sp|Q9ES28|ARHG7_MOUSE
seq561, sp|Q13009|TIAM1_HUMAN
seq562, sp|Q92783|STAM1_HUMAN
seq563, sp|Q10567|AP1B1_HUMAN
seq564, sp|Q10567|AP1B1_HUMAN
seq565, sp|Q10567|AP1B1_HUMAN
seq566, sp|Q10567|AP1B1_HUMAN
seq567, sp|P31948|STIP1_HUMAN
seq568, sp|Q9H4Z3|CAPAM_HUMAN
seq569, sp|Q9H0E2|TOLIP_HUMAN
seq570, sp|Q02779|M3K10_HUMAN
seq571, sp|Q9H4Z3|CAPAM_HUMAN
seq572, sp|Q9NYD6|HXC10_HUMAN
seq573, sp|Q07960|RHG01_HUMAN
seq574, sp|Q13424|SNTA1_HUMAN
seq575, sp|P17752|TPH1_HUMAN
seq576, sp|Q8VIJ6|SFPQ_MOUSE
seq577, sp|Q02779|M3K10_HUMAN
seq578, sp|P42684|ABL2_HUMAN
seq579, sp|O60825|F262_HUMAN
seq580, sp|O60825|F262_HUMAN
seq581, sp|P31948|STIP1_HUMAN
seq582, sp|O70437|SMAD4_RAT
seq583, sp|O00443|P3C2A_HUMAN
seq584, sp|Q96LJ8|UBX10_HUMAN
seq585, sp|Q8N7N6|CIKS_MOUSE
seq586, sp|Q09472|EP300_HUMAN
seq587, sp|Q5RC80|RBM39_PONAB
seq588, sp|Q15572|TAF1C_HUMAN
seq589, sp|P29466|CASP1_HUMAN
seq590, sp|P61246|RS3A_FELCA
seq591, sp|Q99608|NECD_HUMAN
